gene_name	mean_met
COX20	0
COX6A1	0
CPB2-AS1	0
CPEB4	0
CRABP2	0.01
CRB1	0
CRBN	0
CREB3L2	0
CREBBP	0
CREG2	0.0266666666666667
CRKL	0.00666666666666667
CRLF3	0
CROCCP2	0.04
CROCCP3	0
CROT	0.04
CRTC2	0.04
CRY1	0
CRYGD	0.03
CSNK1A1	0.02
CSNK1D	0
CSNK1G2	0
CSNK2A2	0
CSTB	0
CTA-445C9.14	0.03
CTB-175P5.4	0.1
CTB-33G10.1	0.91
CTC-232P5.1	0.005
CTC-338M12.2	0.03
CTC-338M12.5	0
CTC-523E23.4	0.81
CTCF	0
CTD-2086L14.1	0.045
CTD-2134A5.4	0.03
CTD-2162K18.5	0
CTD-2228K2.7	0
CTD-2231H16.1	0.38
CTD-2245F17.3	0.01
CTD-2256P15.2	0
CTD-2319I12.4	0
CTD-2319I12.5	0.12
CTD-2376I4.2	0
CTD-2534I21.8	0
CTD-2540L5.6	0
CTD-2540M10.1	0.01
CTD-2547E10.2	0.02
CTD-2587M23.1	0.31
CTD-3162L10.5	0
CTD-3184A7.4	0.01
CTDP1	0
CTDSP2	0.03
CTDSPL2	0.02
CTSD	0
CTTN	0.01
CTU1	0
CUL3	0
CUX1	0
CXCL2	0.05
CYC1	0.0133333333333333
CYCS	0
CYLD	0.01
CYP20A1	0.02
CYP24A1	0.19
CYP27C1	0.005
CYP2S1	0.2
D2HGDH	0.01
DACT2	0.17
DACT3	0.01
DAP	0
DAPK3	0
DBNL	0
DCAF4L2	0.91
DCBLD2	0.18
DCUN1D2	0
DCUN1D4	0
DDN	0.005
DDX27	0.03
DDX39A	0.04
DDX55	0
DDX59	0
DENND6A	0
DENND6B	0
DEPDC1B	0
DHRS1	0.02
DHTKD1	0
DHX32	0.1
DHX35	0
DHX8	0
DIAPH1	0
DIDO1	0
DIEXF	0.015
DIO3	0.685
DIP2A	0.01
DIP2B	0
DKFZP779L1853	0
DKK1	0.08
DLG2	0
DLL1	0
DLST	0.00333333333333333
DLX4	0.08
DMRT1	0.03
DMRT3	0.24
DMTN	0
DNA2	0.06
DNAJB14	0.005
DNAJC21	0.025
DNAJC27	0
DNAJC3	0.002
DNAJC5	0
DNASE2	0
DNM3	0
DOCK3	0
DOCK4	0
DOCK7	0
DOCK9	0
DOCK9-AS2	0
DOK7	0
DPCD	0
DPF1	0.0433333333333333
DPH2	0.02
DPH6-AS1	0.00666666666666667
DPYSL4	0.165
DPYSL5	0.025
DRD4	0.13
DRGX	0.31
DSC3	0.185
DTD1	0.05
DTYMK	0
DUS1L	0.01
DUSP5	0
DUSP7	0
DUSP8	0.0133333333333333
DYNC1H1	0
DYNC1LI2	0
DYSF	0
E2F1	0
E2F2	0.01
E2F3	0
E2F7	0
EBF3	0.45
EBF4	0
ECE1	0.02
ECEL1	0.025
ECT2	0
EDEM1	0
EDIL3	0.04
EDN3	0.1
EEA1	0.0133333333333333
EFHD2	0
EFNB2	0.0133333333333333
EFR3B	0
EGR4	0.00666666666666667
EIF2AK2	0
EIF2AK3	0.02
EIF2B2	0
EIF2B3	0.01
EIF2S2	0
EIF3A	0
EIF4A1	0
EIF4EBP2	0
EIF4G3	0.01
EIF5A2	0.02
ELFN2	0.00333333333333333
ELK3	0
ELK4	0.00333333333333333
ELL	0
ELOF1	0.02
ELOVL1	0
EMID1	0.07
EML5	0
EML6	0
EMX1	0
ENDOV	0.0133333333333333
ENGASE	0
ENOX1	0.0133333333333333
ENPP7P13	0.83
ENTPD7	0.005
EP400	0
EPB41L4A	0
EPB41L4B	0.03
EPG5	0
EPHA8	0.005
EPHX3	0.0333333333333333
EPN1	0.095
ERBB2IP	0
ERBB4	0.02
ERGIC2	0.01
ERP44	0
ERRFI1	0.0175
ESPL1	0.04
ESRP2	0.01
ETFA	0
EVC	0
EXOSC1	0.04
EXT1	0.005
EZH2	0.02
F3	0.01
FAHD2A	0
FAM109A	0.01
FAM131B	0
FAM131C	0
FAM132B	0.01
FAM171B	0
FAM175B	0
FAM195A	0
FAM208A	0.002
FAM210B	0.0266666666666667
FAM211A	0
FAM212A	0
FAM221A	0.04
FAM222A	0
FAM32A	0.01
FAM3C	0
FAM53A	0
FAM57A	0
FAM63B	0.00666666666666667
FAM78A	0
FAM84B	0.04
FAM86KP	0.12
FAM98A	0
FAM98C	0
FANCC	0
FANCD2	0.005
FBF1	0
FBL	0
FBXL18	0
FBXL19	0
FBXL20	0
FBXO15	0.02
FBXO39	0.08
FBXO41	0.015
FBXO5	0.0466666666666667
FBXW11	0.015
FBXW5	0
FCHO2	0.02
FCHSD1	0.01
FDXR	0
FEM1A	0
FEV	0.17
FGD6	0
FGF22	0
FGF5	0.0333333333333333
FGFR2	0.09
FGFR3	0.01
FHIT	0.02
FICD	0.01
FITM2	0
FKBP2	0.01
FLCN	0
FLT3	0
FLYWCH1	0
FMNL2	0.09
FNBP1L	0.01
FNDC1	0.01
FNDC3A	0
FNDC4	0
FNIP2	0.263333333333333
FOXI3	0.31
FOXK2	0
FOXN3	0.015
FOXO3	0
FOXP1	0.015
FRA10AC1	0
FRAS1	0.015
FRAT2	0
FREM2	0.17
FRMD3	0.01
FRS2	0
FRY	0
FSCN1	0.005
FSTL1	0.2
FSTL4	0.18
FTL	0
FUCA1	0
FUCA2	0.01
FZD1	0
FZD3	0.00333333333333333
FZD4	0.226666666666667
FZD5	0.00666666666666667
FZD7	0.01
FZD8	0.12
G6PC3	0.00333333333333333
GAA	0.005
GABBR2	0.105
GABRG3	0.29
GALNT1	0.00666666666666667
GALNT11	0
GALNT12	0
GALNT18	0.08
GANAB	0
GATA2	0.09
GATS	0.0125
GBGT1	0.02
GCAT	0.005
GCHFR	0
GCLM	0.00333333333333333
GDNF	0.32
GDPD1	0.015
GDPD5	0.01
GEMIN7	0
GFPT2	0
GGH	0.01
GINS4	0
GIPC1	0
GJB2	0.04
GK5	0.005
GLE1	0
GLTP	0
GMCL1	0.04
GMEB2	0
GNA11	0.01
GNA12	0
GNA13	0
GNAQ	0.0975
GNB1L	0
GNS	0
GOLGA4	0
GOLM1	0.31
GOT2	0
GPATCH8	0
GPC1	0
GPC5	0.83
GPCPD1	0
GPI	0.00333333333333333
GPR108	0.01
GPR137B	0
GPR157	0
GPR176	0
GPR180	0
GPR26	0.55
GPX4	0
GRASP	0.02
GRB2	0
GRHPR	0
GRIK3	0.00333333333333333
GRIN2C	0.16
GS1-124K5.12	0.01
GS1-124K5.9	0.17
GSK3B	0.005
GSR	0
GSTO2	0
GTDC1	0.005
GTF3C6	0.015
GUK1	0.03
GXYLT1	0
H2AFX	0
HABP4	0.015
HCG11	0
HDAC1	0
HDAC3	0
HDAC5	0.02
HDGFRP2	0.02
HEATR5B	0
HECA	0.0133333333333333
HERC1	0
HERC5	0.015
HERPUD1	0
HES4	0
HES5	0.015
HIAT1	0
HIF1A-AS2	0
HIGD1A	0
HILPDA	0
HINFP	0
HIST1H1E	0.03
HIST1H4E	0.09
HLTF	0.02
HM13	0.02
HMGA1	0
HMGA2	0.04
HNRNPD	0
HNRNPDL	0
HNRNPR	0
HNRNPUL2-BSCL2	0
HOMER1	0
HOXB7	0.5
HPDL	0
HPS3	0.025
HPSE	0.05
HRAS	0.01
HRASLS	0.44
HS1BP3	0
HS3ST3A1	0.25
HS6ST3	0.0266666666666667
hsa-mir-1199	0.07
HSBP1L1	0
HSD11B2	0.035
HSD17B7	0
HSF2BP	0.02
HSPB6	0.04
HTRA1	0.01
HTRA3	0.22
HTT-AS	0.01
HUNK	0
IARS	0.02
IBA57-AS1	0
ICOSLG	0
ID1	0.01
IDE	0
IDNK	0
IER5	0.02
IER5L	0.02
IFFO1	0
IFT140	0
IGF2R	0
IGFBPL1	0.08
IGSF9B	0.35
IHH	0.0825
IKBIP	0
IL15	0.065
IL1RAP	0
IL6ST	0
ILDR1	0.0133333333333333
ILDR2	0.02
INA	0.00666666666666667
INCA1	0
ING5	0
INO80	0.06
INO80B	0
INPP5F	0
INPPL1	0.02
INSIG1	0
INSM2	0.04
INSR	0.01
INTS1	0.01
INTS10	0
INTS4	0
IP6K1	0.03
IPO8	0
IRF2BP1	0
IRF8	0.0333333333333333
IRS1	0
IRX5	0.11
ISCA1	0
ISLR2	0.01
ISOC1	0
ISPD	0.025
ITFG3	0.025
ITGA2	0.24
ITGA9	0.005
ITGB1	0
ITPR1	0
ITPRIPL1	0.06
JAK1	0
JAK2	0
JHDM1D	0
JHDM1D-AS1	0.0133333333333333
JOSD2	0
KANSL2	0
KAT5	0
KAT6B	0
KATNBL1	0
KB-431C1.4	0.02
KBTBD11	0.015
KCNA3	0
KCNC1	0.13
KCNC4-AS1	0.05
KCNG1	0.01
KCNH1	0
KCNH8	0.025
KCNJ6	0.135
KCNK6	0
KCNN2	0.07
KCNQ2	0.08
KCNQ5	0
KCNT1	0.01
KCTD12	0.034
KCTD15	0.175
KCTD17	0
KDM3B	0.01
KDM4B	0
KIAA0319	0
KIAA0907	0
KIAA0922	0.0133333333333333
KIAA1024	0.1575
KIAA1211L	0.03
KIAA1239	0.16
KIAA1244	0.105
KIAA1324L	0
KIAA1432	0
KIAA1737	0
KIF11	0
KIF13A	0
KIF14	0.1
KIF17	0.00666666666666667
KIF1B	0
KIF1C	0
KIF20B	0
KIF22	0
KIF27	0
KIF2A	0
KIF3C	0.54
KIF9-AS1	0
KISS1R	0
KL	0.05
KLHDC10	0
KLHDC4	0.015
KLHL36	0
KLHL42	0
KRCC1	0.01
KRI1	0.04
KSR1	0
KSR1P1	0.625
KSR2	0
KXD1	0.03
L3MBTL1	0.005
LACE1	0
LAD1	0.085
LAMA3	0.266666666666667
LAMC2	0.14
LAMP1	0
LAP3	0
LARP4B	0
LARS	0
LASP1	0
LATS2	0
LBX2	0
LCA5L	0.04
LCMT1	0
LCP1	0
LDB1	0.0025
LDOC1L	0.0266666666666667
LEP	0.495
LEPRE1	0
LETM1	0.01
LGI2	0.42
LHX3	0.16
LHX4	0.025
LIMA1	0.005
LIMD2	0
LINC00094	0
LINC00115	0
LINC00441	0
LINC00467	0
LINC00475	0.02
LINC00493	0
LINC00543	0.06
LINC00605	0.23
LINC00866	0.2
LINC00882	0
LINC00937	0.01
LINC00959	0.01
LINC00969	0
LINC01023	0
LINC01044	0.22
LINGO3	0.015
LIPE-AS1	0
LLGL1	0
LMNB1	0
LMO4	0.02
LNX2	0.01
LPAR3	0.01
LPHN1	0.01
LPIN2	0
LPXN	0
LRBA	0
LRCH1	0
LRP12	0.445
LRP3	0
LRP8	0
LRPAP1	0
LRRC10B	0.08
LRRC16A	0
LRRC16B	0.01
LRRC20	0.005
LRRC26	0.01
LRRC37B	0
LRRC38	0.03
LRRC47	0.03
LRRC56	0
LRRC58	0.0133333333333333
LRRCC1	0
LSM10	0.01
LUC7L3	0
LYN	0.02
LZTS1	0.32
LZTS3	0
M6PR	0
MACROD1	0
MADCAM1	0.015
MAFB	0.08
MAFG-AS1	0
MAFK	0
MAP2K3	0
MAP3K13	0.01
MAP3K3	0
MAP3K4	0.005
MAP3K5	0.0025
MAP3K8	0
MAP4K2	0
MAP7	0.03
MAPK11	0.02
MAPK14	0
MAPK8	0.005
MAPK8IP3	0.006
MAPK9	0
MAPKAP1	0
MARCH2	0.0025
MARCKSL1P2	0
MAST4	0.04
MATN3	0.01
MBL1P	0.02
MBOAT1	0.04
MBP	0.22
MCAT	0
MCM10	0
MCMBP	0.02
MCOLN1	0.01
MCPH1	0.005
MCTP1	0.015
MDN1	0.0433333333333333
MEAF6	0
MED12L	0.03
MED13L	0
MED18	0
MED23	0
MED8	0.01
MEGF10	0.17
MEGF9	0
MEIG1	0.01
METRN	0.005
METTL10	0
METTL13	0.04
METTL24	0.12
METTL2B	0
MEX3B	0.016
MFN2	0
MFSD4	0.01
MGAT3	0.05
MGLL	0
MIB2	0.00333333333333333
MICU2	0
MIER2	0
MIF4GD	0
MIIP	0.00666666666666667
MINK1	0.0133333333333333
MINOS1-NBL1	0
MIPEP	0.0133333333333333
MIR138-2	0
MIR193A	0.27
MIR203	0.59
MIR210	0.07
MIR212	0
MIR3615	0.01
MIR3916	0.01
MIR4530	0
MIR4674	0.015
MIR4787	0
MIR5091	0
MIXL1	0
MKL2	0.01
MKNK2	0
MLF1IP	0.03
MLLT1	0
MLLT10	0.00333333333333333
MLLT3	0
MLLT4-AS1	0.01
MMD2	0
MMP17	0
MMP25	0.015
MMS22L	0.005
MOAP1	0
MOB1A	0
MOB1B	0
MOB3B	0
MOGS	0
MORC3	0
MORN1	0
MOXD1	0.08
MPI	0
MPND	0
MPV17L2	0.005
MRAP2	0
MRFAP1L1	0.0633333333333333
MRPL12	0
MRPL20	0.015
MRPL44	0
MRPS26	0
MRPS31	0.01
MRPS6	0.006
MSMO1	0.01
MSTO1	0.02
MSX2P1	0.035
MT1E	0.02
MT1G	0.015
MT1H	0.04
MT1X	0
MTA2	0
MTCH2	0
MTG2	0
MTHFSD	0.0133333333333333
MTMR9LP	0
MTO1	0
MTOR	0
MTPN	0
MTR	0.01
MTRF1L	0.01
MTSS1	0.0125
MTSS1L	0.02
MTUS1	0.03
MXD4	0
MXI1	0
MYB	0.005
MYCL	0
MYH10	0.02
MYH11	0.0633333333333333
MYL12A	0
MYL9	0
MYLK	0
MYO18A	0.01
MYO1D	0.0025
MYO6	0
MYRF	0.07
MYRIP	0.3
MZF1	0.06
N4BP2L1	0
NAA40	0
NAGA	0
NAGLU	0.01
NANOS1	0.00333333333333333
NANP	0
NAPB	0
NAT14	0
NAT16	0.04
NBPF1	0.00333333333333333
NCAPH	0
NCBP2-AS2	0
NCOA1	0.03
NCOA3	0
NCOA5	0.005
NDST1	0
NDUFB10	0.0133333333333333
NDUFS7	0.0025
NDUFV2	0
NEBL	0.26
NECAP2	0
NEDD1	0
NEIL2	0
NEK10	0.13
NEK4	0
NEK7	0
NELFA	0.01
NELFB	0
NENF	0
NEO1	0
NET1	0.185
NFATC2IP	0.02
NIPA2	0
NKAIN1	0.0466666666666667
NKX1-2	0.01
NKX2-6	0.3
NKX6-1	0.13
NLGN1	0.11
NLGN2	0
NLK	0.005
NMRK1	0
NOC3L	0.005
NOD1	0.01
NOP14	0.005
NOS1AP	0.74
NOTCH3	0.09
NOVA1	0.325
NOVA2	0.13
NPAS1	0.22
NPAS4	0.04
NPC1	0
NPDC1	0.01
NPPB	0.1
NPTXR	0
NR1D1	0
NR2C2AP	0.005
NRIP3	0.05
NSUN7	0.32
NT5C	0.025
NT5C1A	0
NT5C2	0.005
NT5DC3	0.005
NT5M	0.0133333333333333
NTN3	0
NTNG1	0.06
NUDT16	0.02
NUDT16L1	0.015
NUDT18	0
NUDT7	0
NUP210	0.01
NUP214	0
NUP50	0.05
NXPH1	0.1
NXPH4	0.01
OGFRL1	0
OGG1	0
OIP5-AS1	0.01
OLA1	0
OLFML2B	0
ONECUT1	0.01
OPRD1	0.03
OR2L13	0.16
OSBPL8	0.005
OSR2	0.02
OST4	0
OTUD1	0.005
OVOL1	0
P4HTM	0
PACSIN1	0.01
PAK4	0
PALD1	0.01
PAN2	0
PANK4	0
PAPD7	0
PAPOLG	0.01
PAQR3	0
PARD3-AS1	0.06
PARK7	0
PARL	0.04
PARM1	0.04
PARP1	0
PARS2	0
PATL1	0
PAWR	0
PAX2	0.5
PAXBP1-AS1	0
PBX3	0
PC	0.01
PCBD2	0
PCCB	0.01
PCDH9	0
PCLO	0.1
PCM1	0.02
PCNA	0.01
PCSK2	0.15
PCSK4	0.02
PDCD2	0
PDIA3	0.0233333333333333
PDIA4	0.04
PDPK1	0
PDS5A	0
PDSS1	0
PDZD2	0
PDZD8	0
PEAK1	0
PELI1	0
PEMT	0.02
PER3	0
PET112	0.04
PFKFB3	0
PFKL	0
PGLS	0
PGP	0
PGPEP1	0.02
PGS1	0.015
PHACTR2	0
PHF19	0.01
PHKG2	0
PHOSPHO1	0.005
PHRF1	0
PIAS1	0
PID1	0.04
PIEZO2	0.21
PIGH	0
PIGK	0
PIGP	0.01
PIK3CB	0.01
PIK3R1	0
PILRB	0.015
PIM3	0
PIN1	0.01
PINK1	0.01
PIP4K2A	0
PIP4K2C	0.02
PIP5KL1	0
PITPNA	0
PITPNA-AS1	0
PITPNC1	0
PKMYT1	0.025
PLA2G15	0.02
PLAGL1	0.01
PLAGL2	0
PLCD1	0.00666666666666667
PLCG1	0
PLCXD2	0.01
PLD5	0.005
PLEKHA1	0.022
PLEKHA2	0
PLEKHA7	0.02
PLEKHG1	0
PLEKHM1P	0
PLEKHM2	0.02
PLGRKT	0.03
PLRG1	0
PLTP	0.01
PNISR	0.02
PNPLA5	0.116666666666667
POFUT2	0
POLE2	0.03
POLM	0
POLQ	0
POLR1D	0
POLR3D	0
POM121L8P	0.92
POMK	0.02
POP7	0.01
POPDC3	0.16
POU3F1	0
POU4F1	0.47
POU6F1	0
PPAN-P2RY11	0
PPAP2A	0
PPAPDC1A	0.08
PPATP1	0.75
PPFIA4	0.01
PPIL2	0
PPIL4	0
PPM1B	0.01
PPM1D	0
PPM1E	0.075
PPM1F	0
PPM1M	0.01
PPP1CB	0.02
PPP1CC	0
PPP1R12B	0
PPP1R14C	0
PPP1R15B	0.00333333333333333
PPP1R16A	0
PPP1R16B	0
PPP1R2	0
PPP1R21	0
PPP1R3B	0
PPP1R3G	0
PPP2R2C	0.08
PPP6R1	0.01
PQLC3	0.01
PRDM15	0
PRDM2	0
PREP	0
PRIMA1	0.13
PRKACB	0
PRKAG2	0.01
PRKAR2A	0
PRKAR2B	0.01
PRKCA	0.0533333333333333
PRKCE	0
PRKCZ	0
PRKD2	0
PRKRIR	0
PRMT3	0.005
PROCA1	0.04
PROKR2	0.09
PROSER2	0.035
PRPF38B	0
PRR14	0.02
PRR16	0.12
PRR18	0.01
PRSS12	0.103333333333333
PRSS30P	0.11
PSEN1	0.01
PSMA5	0
PSMA7	0
PSPH	0
PSTPIP2	0.00333333333333333
PTAR1	0
PTCH2	0.005
PTCHD3P1	0.07
PTF1A	0.2
PTGR2	0
PTMA	0
PTPN18	0
PTPRS	0.01
PTPRT	0.0883333333333333
PTS	0
PUS7L	0
PWP2	0
PXDC1	0.01
PXK	0
PYCR2	0
QDPR	0
R3HDM2	0
RAB11B	0
RAB11FIP1	0
RAB11FIP4	0.01
RAB18	0.06
RAB1A	0.01
RAB1B	0
RAB35	0
RAB3GAP2	0
RAB40B	0.02
RAB40C	0.00666666666666667
RAB5C	0
RAB6A	0.02
RAB8A	0
RABL6	0
RAD23B	0
RAET1L	0.02
RAF1	0
RAI1	0
RALGAPB	0
RALGPS1	0
RALYL	0.02
RAN	0
RANBP2	0
RANBP3	0
RANBP9	0
RANGAP1	0
RAP1GAP2	0.12
RAP2A	0
RAPH1	0
RARRES2P8	0.87
RASD1	0
RASGEF1A	0.005
RASGRP2	0.04
RASSF1	0
RB1	0
RBM15	0
RBM20	0
RBP7	0
RBPMS	0
RC3H2	0.02
RCAN3	0
RCL1	0.02
RCOR1	0.01
RECQL4	0
REL	0
RELA	0
RELB	0.01
RELL1	0
RERE	0
REXO1	0
RFWD2	0.01
RFX3	0.025
RGCC	0
RGS10	0.02
RGS2	0
RGS9	0.025
RHBDD1	0.35
RHBDL1	0.005
RHBDL3	0.005
RHEBL1	0
RHOB	0.01
RHOF	0
RIMKLA	0.00333333333333333
RIN3	0.03
RIPK1	0
RIPPLY3	0.185
RLF	0
RMND5B	0
RN7SL555P	0.05
RNA5SP242	0.07
RNA5SP284	0.25
RNF122	0.01
RNF138	0
RNF139	0
RNF139-AS1	0.03
RNF152	0.04
RNF166	0
RNF180	0.306666666666667
RNF2	0
RNF208	0.52
RNF216P1	0.02
RNF24	0
ROBO2	0.22
ROGDI	0
RP1-101K10.6	0
RP1-118J21.25	0.03
RP1-125I3.2	0
RP1-140A9.1	0
RP1-223E5.4	0
RP1-290I10.3	0.315
RP1-85F18.5	0.02
RP1-92O14.3	0.02
RP11-1017G21.5	0.02
RP11-102N12.3	0
RP11-1094H24.3	0.01
RP11-111M22.2	0.00333333333333333
RP11-1167A19.2	0
RP11-123O10.4	0.03
RP11-1275H24.2	0.0266666666666667
RP11-1277A3.2	0
RP11-12M9.3	0.78
RP11-132A1.3	0.29
RP11-132A1.4	0.045
RP11-1398P2.1	0
RP11-139I14.2	0.09
RP11-140A10.3	0.19
RP11-154D17.1	0
RP11-159F24.3	0.03
RP11-15E18.1	0.01
