chrBase	chr	base	strand	coverage	freqC	freqT
1.3531814	1	3531814	R	23	78.26	21.74
1.3531832	1	3531832	R	17	94.12	5.88
1.3531837	1	3531837	R	21	100.00	0.00
1.3531840	1	3531840	R	21	85.71	14.29
1.3531843	1	3531843	R	21	100.00	0.00
1.3532126	1	3532126	R	81	87.65	12.35
1.3532129	1	3532129	R	82	96.34	3.66
1.3556763	1	3556763	F	120	99.17	0.83
1.3556775	1	3556775	F	121	92.56	7.44
1.3556782	1	3556782	F	121	94.21	5.79
1.3556786	1	3556786	F	118	88.14	11.86
1.3556967	1	3556967	R	103	98.06	1.94
1.3556987	1	3556987	R	102	83.33	16.67
1.3556998	1	3556998	R	104	94.23	5.77
1.3584304	1	3584304	F	27	66.67	33.33
1.3584309	1	3584309	F	27	88.89	11.11
1.3593262	1	3593262	R	14	100.00	0.00
1.3593303	1	3593303	R	14	100.00	0.00
1.3622136	1	3622136	F	195	86.15	13.85
1.3622256	1	3622256	F	196	95.92	4.08
1.3622340	1	3622340	F	182	69.23	30.77
1.3622217	1	3622217	R	164	89.02	10.98
1.3622257	1	3622257	R	166	92.17	7.83
1.3622311	1	3622311	R	172	91.28	8.72
1.3622341	1	3622341	R	171	77.78	22.22
1.3622505	1	3622505	R	142	65.49	34.51
1.3622514	1	3622514	R	142	89.44	10.56
1.3622545	1	3622545	R	142	92.96	7.04
1.3629662	1	3629662	F	10	0.00	100.00
1.3629668	1	3629668	F	10	0.00	100.00
1.3670645	1	3670645	F	206	1.94	98.06
1.3670655	1	3670655	F	206	4.37	95.63
1.3670670	1	3670670	F	206	5.83	94.17
1.3670682	1	3670682	F	180	1.67	98.33
1.3670685	1	3670685	F	194	2.06	97.94
1.3670704	1	3670704	R	187	1.07	98.93
1.3670723	1	3670723	R	187	5.35	94.65
1.3670726	1	3670726	R	188	4.26	95.74
1.3670736	1	3670736	R	190	0.53	99.47
1.3670743	1	3670743	R	173	4.05	95.95
1.3670752	1	3670752	R	187	2.67	97.33
1.3671095	1	3671095	F	141	1.42	98.58
1.3671099	1	3671099	F	143	4.20	95.80
1.3671102	1	3671102	F	145	4.83	95.17
1.3671105	1	3671105	F	144	6.25	93.75
1.3671109	1	3671109	F	145	1.38	98.62
1.3671114	1	3671114	F	141	2.84	97.16
1.3671118	1	3671118	F	144	3.47	96.53
1.3671124	1	3671124	F	144	0.00	100.00
1.3671127	1	3671127	F	144	1.39	98.61
1.3671132	1	3671132	F	143	2.10	97.90
1.3671135	1	3671135	F	144	4.86	95.14
1.3671142	1	3671142	F	144	5.56	94.44
1.3671144	1	3671144	F	139	2.16	97.84
1.3671222	1	3671222	F	181	0.00	100.00
1.3671229	1	3671229	F	182	0.00	100.00
1.3671232	1	3671232	F	180	1.67	98.33
1.3671265	1	3671265	F	179	0.00	100.00
1.3671447	1	3671447	F	113	1.77	98.23
1.3671451	1	3671451	F	115	0.87	99.13
1.3671453	1	3671453	F	112	0.89	99.11
1.3671456	1	3671456	F	115	1.74	98.26
1.3671478	1	3671478	F	109	3.67	96.33
1.3671482	1	3671482	F	113	0.00	100.00
1.3671486	1	3671486	F	114	0.00	100.00
1.3671490	1	3671490	F	115	0.87	99.13
1.3671493	1	3671493	F	113	0.00	100.00
1.3671496	1	3671496	F	113	0.88	99.12
1.3671521	1	3671521	F	233	6.44	93.56
1.3671529	1	3671529	F	234	2.99	97.01
1.3671533	1	3671533	F	235	1.70	98.30
1.3671537	1	3671537	F	238	3.36	96.64
1.3671544	1	3671544	F	235	1.70	98.30
1.3671552	1	3671552	F	210	0.48	99.52
1.3671555	1	3671555	F	236	1.27	98.73
1.3671569	1	3671569	F	232	1.72	98.28
1.3671591	1	3671591	F	70	1.43	98.57
1.3671596	1	3671596	F	70	4.29	95.71
1.3671598	1	3671598	F	68	0.00	100.00
1.3671600	1	3671600	F	67	0.00	100.00
1.3671602	1	3671602	F	65	0.00	100.00
1.3671615	1	3671615	F	67	5.97	94.03
1.3671619	1	3671619	F	70	0.00	100.00
1.3671621	1	3671621	F	67	0.00	100.00
1.3671626	1	3671626	F	69	15.94	84.06
1.3671628	1	3671628	F	65	1.54	98.46
1.3671636	1	3671636	F	76	2.63	97.37
1.3671642	1	3671642	F	75	6.67	93.33
1.3671644	1	3671644	F	75	5.33	94.67
1.3671655	1	3671655	F	74	0.00	100.00
1.3671660	1	3671660	F	76	7.89	92.11
1.3671663	1	3671663	F	75	1.33	98.67
1.3671666	1	3671666	F	75	8.00	92.00
1.3671669	1	3671669	F	78	3.85	96.15
1.3671835	1	3671835	F	12	0.00	100.00
1.3671849	1	3671849	F	12	0.00	100.00
1.3671863	1	3671863	F	71	1.41	98.59
1.3671890	1	3671890	F	60	5.00	95.00
1.3671893	1	3671893	F	55	3.64	96.36
1.3671133	1	3671133	R	146	1.37	98.63
1.3671136	1	3671136	R	146	1.37	98.63
1.3671143	1	3671143	R	151	1.99	98.01
1.3671145	1	3671145	R	152	1.32	98.68
1.3671162	1	3671162	R	165	2.42	97.58
1.3671164	1	3671164	R	168	0.00	100.00
1.3671175	1	3671175	R	161	8.70	91.30
1.3671178	1	3671178	R	167	2.99	97.01
1.3671182	1	3671182	R	167	4.19	95.81
1.3671414	1	3671414	R	179	1.68	98.32
1.3671425	1	3671425	R	196	4.08	95.92
1.3671430	1	3671430	R	200	2.50	97.50
1.3671448	1	3671448	R	226	0.88	99.12
1.3671479	1	3671479	R	149	0.67	99.33
1.3671483	1	3671483	R	136	0.74	99.26
1.3671487	1	3671487	R	123	4.07	95.93
1.3671491	1	3671491	R	143	0.00	100.00
1.3671494	1	3671494	R	148	1.35	98.65
1.3671497	1	3671497	R	155	3.87	96.13
1.3671501	1	3671501	R	159	3.14	96.86
1.3671503	1	3671503	R	162	0.62	99.38
1.3671513	1	3671513	R	154	1.95	98.05
1.3671522	1	3671522	R	159	2.52	97.48
1.3671545	1	3671545	R	176	0.57	99.43
1.3671553	1	3671553	R	161	0.62	99.38
1.3671556	1	3671556	R	160	0.00	100.00
1.3671570	1	3671570	R	168	0.60	99.40
1.3671573	1	3671573	R	179	0.00	100.00
1.3671587	1	3671587	R	174	1.15	98.85
1.3671589	1	3671589	R	175	1.71	98.29
1.3671592	1	3671592	R	181	2.21	97.79
1.3671597	1	3671597	R	80	0.00	100.00
1.3671599	1	3671599	R	83	3.61	96.39
1.3671601	1	3671601	R	81	0.00	100.00
1.3671603	1	3671603	R	77	6.49	93.51
1.3671616	1	3671616	R	75	1.33	98.67
1.3671620	1	3671620	R	81	2.47	97.53
1.3671622	1	3671622	R	80	0.00	100.00
1.3671627	1	3671627	R	81	4.94	95.06
1.3671629	1	3671629	R	81	0.00	100.00
1.3671632	1	3671632	R	82	1.22	98.78
1.3671822	1	3671822	R	165	0.00	100.00
1.3671825	1	3671825	R	167	2.40	97.60
1.3671836	1	3671836	R	180	3.33	96.67
1.3672098	1	3672098	R	47	0.00	100.00
1.3672109	1	3672109	R	47	0.00	100.00
1.3672118	1	3672118	R	44	2.27	97.73
1.3672146	1	3672146	R	48	8.33	91.67
1.3691491	1	3691491	F	248	68.15	31.85
1.3691595	1	3691595	R	168	63.10	36.90
1.3691617	1	3691617	R	185	72.97	27.03
1.3691644	1	3691644	R	186	86.02	13.98
1.3720762	1	3720762	F	10	80.00	20.00
1.3733566	1	3733566	R	16	87.50	12.50
1.3733571	1	3733571	R	16	81.25	18.75
1.3734928	1	3734928	F	129	85.27	14.73
1.3734953	1	3734953	F	125	99.20	0.80
1.3734955	1	3734955	F	124	97.58	2.42
1.3735137	1	3735137	R	140	98.57	1.43
1.3740826	1	3740826	R	349	82.23	17.77
1.3746874	1	3746874	R	138	97.10	2.90
1.3811902	1	3811902	F	164	96.34	3.66
1.3811939	1	3811939	F	163	58.90	41.10
1.3812114	1	3812114	R	170	67.06	32.94
1.3819405	1	3819405	F	91	98.90	1.10
1.3819435	1	3819435	F	89	95.51	4.49
1.3819454	1	3819454	F	94	7.45	92.55
1.3819406	1	3819406	R	120	0.00	100.00
1.3819436	1	3819436	R	120	87.50	12.50
1.3819455	1	3819455	R	121	45.45	54.55
1.3831146	1	3831146	F	175	84.57	15.43
1.3831150	1	3831150	F	173	90.75	9.25
1.3847814	1	3847814	F	204	94.61	5.39
1.3852367	1	3852367	F	34	58.82	41.18
1.3852542	1	3852542	R	93	89.25	10.75
1.3852545	1	3852545	R	92	94.57	5.43
1.3852567	1	3852567	R	93	95.70	4.30
1.3852607	1	3852607	R	50	94.00	6.00
1.3852778	1	3852778	F	20	100.00	0.00
1.3852783	1	3852783	F	20	95.00	5.00
1.3852754	1	3852754	R	294	88.44	11.56
1.3852779	1	3852779	R	296	96.96	3.04
1.3852948	1	3852948	R	97	46.39	53.61
1.3878095	1	3878095	F	94	79.79	20.21
1.3878228	1	3878228	R	161	85.09	14.91
1.3892311	1	3892311	R	106	68.87	31.13
1.3931004	1	3931004	F	149	97.32	2.68
1.3931060	1	3931060	R	138	89.13	10.87
1.3934417	1	3934417	F	116	86.21	13.79
1.3934478	1	3934478	R	65	70.77	29.23
1.3934515	1	3934515	R	64	87.50	12.50
1.3934521	1	3934521	R	65	93.85	6.15
1.3965737	1	3965737	F	167	34.73	65.27
1.3965842	1	3965842	R	155	94.84	5.16
1.3977485	1	3977485	F	125	69.60	30.40
1.3977521	1	3977521	F	127	80.31	19.69
1.3977723	1	3977723	R	49	95.92	4.08
1.3985943	1	3985943	F	14	92.86	7.14
1.3985973	1	3985973	F	14	92.86	7.14
1.4004784	1	4004784	F	136	96.32	3.68
1.4004990	1	4004990	R	186	72.04	27.96
1.4039029	1	4039029	F	34	91.18	8.82
1.4039065	1	4039065	R	54	72.22	27.78
1.4059433	1	4059433	R	211	76.78	23.22
1.4103065	1	4103065	F	66	59.09	40.91
1.4103089	1	4103089	F	66	54.55	45.45
1.4103333	1	4103333	R	51	94.12	5.88
1.4106516	1	4106516	R	169	54.44	45.56
1.4161807	1	4161807	R	288	82.99	17.01
1.4187674	1	4187674	F	155	98.06	1.94
1.4187683	1	4187683	F	153	86.93	13.07
1.4187706	1	4187706	F	156	94.87	5.13
1.4187712	1	4187712	F	153	95.42	4.58
1.4187723	1	4187723	F	146	95.89	4.11
1.4187998	1	4187998	R	170	94.12	5.88
1.4248094	1	4248094	R	232	78.88	21.12
1.4248133	1	4248133	R	251	82.47	17.53
1.4259068	1	4259068	F	148	97.30	2.70
1.4259110	1	4259110	F	148	68.24	31.76
1.4259339	1	4259339	R	84	96.43	3.57
1.4260279	1	4260279	F	141	97.16	2.84
1.4260329	1	4260329	F	131	89.31	10.69
1.4260490	1	4260490	R	213	64.32	35.68
1.4352296	1	4352296	F	83	97.59	2.41
1.4352325	1	4352325	F	79	83.54	16.46
1.4352326	1	4352326	R	101	88.12	11.88
1.4352339	1	4352339	R	102	92.16	7.84
1.4440438	1	4440438	F	136	94.12	5.88
1.4440615	1	4440615	F	66	90.91	9.09
1.4440640	1	4440640	F	62	80.65	19.35
1.4440439	1	4440439	R	11	72.73	27.27
1.4440567	1	4440567	R	152	87.50	12.50
1.4440587	1	4440587	R	151	79.47	20.53
1.4440612	1	4440612	R	156	92.95	7.05
1.4440616	1	4440616	R	158	88.61	11.39
1.4440641	1	4440641	R	124	79.03	20.97
1.4440659	1	4440659	R	125	72.80	27.20
1.4446225	1	4446225	F	16	68.75	31.25
1.4446233	1	4446233	F	16	18.75	81.25
1.4446248	1	4446248	F	16	68.75	31.25
1.4446490	1	4446490	R	14	71.43	28.57
1.4446508	1	4446508	R	14	0.00	100.00
1.4451318	1	4451318	F	123	68.29	31.71
1.4451332	1	4451332	F	116	70.69	29.31
1.4451368	1	4451368	F	129	4.65	95.35
1.4451319	1	4451319	R	144	0.00	100.00
1.4451333	1	4451333	R	144	81.25	18.75
1.4451369	1	4451369	R	148	62.84	37.16
1.4456431	1	4456431	F	11	100.00	0.00
1.4456729	1	4456729	R	16	75.00	25.00
1.4491933	1	4491933	F	59	0.00	100.00
1.4491949	1	4491949	F	59	0.00	100.00
1.4491959	1	4491959	F	46	0.00	100.00
1.4491970	1	4491970	F	310	0.00	100.00
1.4491976	1	4491976	F	304	0.00	100.00
1.4491980	1	4491980	F	298	1.01	98.99
1.4491998	1	4491998	F	294	2.38	97.62
1.4492004	1	4492004	F	238	2.10	97.90
1.4492007	1	4492007	F	231	0.43	99.57
1.4492010	1	4492010	F	260	4.62	95.38
1.4492019	1	4492019	F	287	0.00	100.00
1.4492130	1	4492130	F	12	0.00	100.00
1.4492136	1	4492136	F	12	0.00	100.00
1.4492145	1	4492145	F	12	0.00	100.00
1.4492154	1	4492154	F	179	1.12	98.88
1.4492164	1	4492164	F	183	0.55	99.45
1.4492177	1	4492177	F	180	3.89	96.11
1.4492181	1	4492181	F	168	1.79	98.21
1.4492189	1	4492189	F	181	3.87	96.13
1.4492238	1	4492238	F	87	3.45	96.55
1.4492256	1	4492256	F	81	3.70	96.30
1.4492274	1	4492274	F	67	0.00	100.00
1.4492288	1	4492288	F	66	0.00	100.00
1.4492298	1	4492298	F	63	0.00	100.00
1.4492310	1	4492310	F	240	3.33	96.67
1.4492330	1	4492330	F	241	0.00	100.00
1.4492333	1	4492333	F	241	0.00	100.00
1.4492337	1	4492337	F	234	0.00	100.00
1.4492339	1	4492339	F	231	0.00	100.00
1.4492345	1	4492345	F	194	0.00	100.00
1.4492424	1	4492424	F	239	1.67	98.33
1.4492456	1	4492456	F	242	2.89	97.11
1.4492458	1	4492458	F	227	3.08	96.92
1.4492462	1	4492462	F	242	0.41	99.59
1.4492468	1	4492468	F	245	0.00	100.00
1.4492483	1	4492483	F	114	0.00	100.00
1.4492495	1	4492495	F	119	0.84	99.16
1.4492498	1	4492498	F	119	0.84	99.16
1.4492504	1	4492504	F	110	0.91	99.09
1.4492527	1	4492527	F	118	3.39	96.61
1.4492563	1	4492563	F	207	0.97	99.03
1.4492600	1	4492600	F	205	0.98	99.02
1.4492602	1	4492602	F	203	2.46	97.54
1.4492608	1	4492608	F	204	1.47	98.53
1.4492612	1	4492612	F	206	1.94	98.06
1.4492715	1	4492715	F	167	4.79	95.21
1.4492754	1	4492754	F	152	3.29	96.71
1.4493069	1	4493069	F	149	4.03	95.97
1.4493092	1	4493092	F	149	0.00	100.00
1.4493201	1	4493201	F	64	3.12	96.88
1.4493207	1	4493207	F	63	1.59	98.41
1.4493215	1	4493215	F	64	4.69	95.31
1.4493225	1	4493225	F	66	1.52	98.48
1.4493230	1	4493230	F	66	6.06	93.94
1.4493233	1	4493233	F	63	0.00	100.00
1.4493238	1	4493238	F	118	0.00	100.00
1.4493245	1	4493245	F	114	0.00	100.00
1.4493250	1	4493250	F	116	1.72	98.28
1.4493257	1	4493257	F	118	1.69	98.31
1.4493268	1	4493268	F	120	0.00	100.00
1.4493357	1	4493357	F	60	5.00	95.00
1.4493373	1	4493373	F	60	0.00	100.00
1.4493382	1	4493382	F	57	0.00	100.00
1.4493389	1	4493389	F	59	0.00	100.00
1.4493395	1	4493395	F	142	0.00	100.00
1.4493419	1	4493419	F	141	1.42	98.58
1.4493425	1	4493425	F	143	0.00	100.00
1.4493443	1	4493443	F	140	0.00	100.00
1.4491950	1	4491950	R	76	0.00	100.00
1.4491960	1	4491960	R	76	0.00	100.00
1.4491971	1	4491971	R	76	0.00	100.00
1.4492086	1	4492086	R	311	2.25	97.75
1.4492088	1	4492088	R	304	0.99	99.01
1.4492091	1	4492091	R	315	4.44	95.56
1.4492109	1	4492109	R	311	2.25	97.75
1.4492119	1	4492119	R	306	0.65	99.35
1.4492131	1	4492131	R	324	1.85	98.15
1.4492137	1	4492137	R	13	0.00	100.00
1.4492146	1	4492146	R	14	0.00	100.00
1.4492155	1	4492155	R	13	23.08	76.92
1.4492182	1	4492182	R	162	2.47	97.53
1.4492190	1	4492190	R	168	4.17	95.83
1.4492206	1	4492206	R	169	2.37	97.63
1.4492217	1	4492217	R	171	5.26	94.74
1.4492232	1	4492232	R	170	5.29	94.71
1.4492257	1	4492257	R	63	0.00	100.00
1.4492275	1	4492275	R	63	0.00	100.00
1.4492289	1	4492289	R	74	8.11	91.89
1.4492299	1	4492299	R	78	0.00	100.00
1.4492311	1	4492311	R	78	1.28	98.72
1.4492366	1	4492366	R	179	0.56	99.44
1.4492386	1	4492386	R	182	3.85	96.15
1.4492398	1	4492398	R	181	3.87	96.13
1.4492406	1	4492406	R	182	4.40	95.60
1.4492457	1	4492457	R	162	0.00	100.00
1.4492459	1	4492459	R	165	4.85	95.15
1.4492463	1	4492463	R	147	4.08	95.92
1.4492469	1	4492469	R	167	0.00	100.00
1.4492479	1	4492479	R	160	0.00	100.00
1.4492481	1	4492481	R	162	0.62	99.38
1.4492484	1	4492484	R	167	1.20	98.80
1.4492528	1	4492528	R	133	0.75	99.25
1.4492537	1	4492537	R	134	0.00	100.00
1.4492552	1	4492552	R	130	0.00	100.00
1.4492555	1	4492555	R	133	1.50	98.50
1.4492558	1	4492558	R	134	0.75	99.25
1.4492560	1	4492560	R	136	2.21	97.79
1.4492564	1	4492564	R	136	0.00	100.00
1.4492674	1	4492674	R	25	0.00	100.00
1.4492691	1	4492691	R	320	3.12	96.88
1.4492693	1	4492693	R	321	4.05	95.95
1.4492705	1	4492705	R	329	1.22	98.78
1.4492716	1	4492716	R	322	6.21	93.79
1.4492755	1	4492755	R	204	7.84	92.16
1.4492772	1	4492772	R	205	3.41	96.59
1.4493154	1	4493154	R	125	4.80	95.20
1.4493160	1	4493160	R	128	0.78	99.22
1.4493164	1	4493164	R	127	3.15	96.85
1.4493188	1	4493188	R	130	2.31	97.69
1.4493195	1	4493195	R	131	2.29	97.71
1.4493199	1	4493199	R	131	1.53	98.47
1.4493202	1	4493202	R	132	3.79	96.21
1.4493208	1	4493208	R	70	2.86	97.14
1.4493216	1	4493216	R	67	4.48	95.52
1.4493226	1	4493226	R	70	2.86	97.14
1.4493231	1	4493231	R	69	0.00	100.00
1.4493234	1	4493234	R	68	0.00	100.00
1.4493239	1	4493239	R	70	1.43	98.57
1.4493308	1	4493308	R	176	0.00	100.00
1.4493342	1	4493342	R	185	1.62	98.38
1.4493344	1	4493344	R	187	0.53	99.47
1.4493351	1	4493351	R	182	2.75	97.25
1.4493353	1	4493353	R	179	1.68	98.32
1.4493358	1	4493358	R	188	6.38	93.62
1.4493374	1	4493374	R	70	0.00	100.00
1.4493383	1	4493383	R	72	2.78	97.22
1.4493390	1	4493390	R	64	0.00	100.00
1.4493396	1	4493396	R	68	0.00	100.00
1.4493616	1	4493616	F	122	2.46	97.54
1.4493621	1	4493621	F	122	0.00	100.00
1.4493623	1	4493623	F	121	2.48	97.52
1.4493644	1	4493644	F	117	1.71	98.29
1.4493646	1	4493646	F	83	1.20	98.80
1.4493656	1	4493656	F	90	0.00	100.00
1.4493661	1	4493661	F	80	2.50	97.50
1.4493672	1	4493672	F	198	3.54	96.46
1.4493694	1	4493694	F	202	7.92	92.08
1.4493710	1	4493710	F	203	0.49	99.51
1.4493748	1	4493748	F	164	3.05	96.95
1.4493568	1	4493568	R	171	9.36	90.64
1.4493577	1	4493577	R	184	1.63	98.37
1.4493579	1	4493579	R	173	0.00	100.00
1.4493605	1	4493605	R	198	4.55	95.45
1.4493617	1	4493617	R	199	1.51	98.49
1.4493624	1	4493624	R	185	1.62	98.38
1.4493645	1	4493645	R	181	0.55	99.45
1.4493647	1	4493647	R	187	1.60	98.40
1.4493657	1	4493657	R	187	2.67	97.33
1.4493662	1	4493662	R	189	3.70	96.30
1.4493668	1	4493668	R	184	7.61	92.39
1.4493673	1	4493673	R	188	2.13	97.87
1.4493711	1	4493711	R	194	0.00	100.00
1.4493731	1	4493731	R	144	1.39	98.61
1.4493749	1	4493749	R	199	3.02	96.98
1.4493795	1	4493795	R	124	0.81	99.19
1.4496988	1	4496988	F	207	6.28	93.72
1.4496991	1	4496991	F	206	4.85	95.15
1.4497028	1	4497028	F	206	2.91	97.09
1.4497083	1	4497083	F	218	1.38	98.62
1.4497090	1	4497090	F	220	1.36	98.64
1.4497111	1	4497111	F	218	4.59	95.41
1.4497118	1	4497118	F	188	9.04	90.96
1.4497123	1	4497123	F	212	2.83	97.17
1.4497127	1	4497127	F	217	0.46	99.54
1.4497145	1	4497145	F	135	1.48	98.52
1.4497159	1	4497159	F	129	3.10	96.90
1.4497187	1	4497187	F	115	3.48	96.52
1.4497189	1	4497189	F	71	4.23	95.77
1.4497041	1	4497041	R	195	0.51	99.49
1.4497070	1	4497070	R	197	8.12	91.88
1.4497074	1	4497074	R	197	4.06	95.94
1.4497077	1	4497077	R	197	5.08	94.92
1.4497084	1	4497084	R	199	3.52	96.48
1.4497112	1	4497112	R	236	6.36	93.64
1.4497119	1	4497119	R	252	7.54	92.46
1.4497124	1	4497124	R	251	4.38	95.62
1.4497128	1	4497128	R	249	2.81	97.19
1.4497146	1	4497146	R	249	1.20	98.80
1.4497245	1	4497245	R	116	0.86	99.14
1.4497288	1	4497288	R	124	3.23	96.77
1.4522942	1	4522942	F	74	93.24	6.76
1.4522954	1	4522954	F	72	84.72	15.28
1.4522975	1	4522975	F	72	84.72	15.28
1.4522955	1	4522955	R	56	89.29	10.71
1.4522976	1	4522976	R	54	94.44	5.56
1.4522986	1	4522986	R	56	96.43	3.57
1.4523484	1	4523484	F	168	96.43	3.57
1.4523573	1	4523573	R	226	87.61	12.39
1.4525335	1	4525335	R	58	93.10	6.90
1.4553704	1	4553704	F	242	90.50	9.50
1.4553746	1	4553746	F	237	95.36	4.64
1.4553752	1	4553752	F	232	97.84	2.16
1.4553747	1	4553747	R	227	93.39	6.61
1.4553753	1	4553753	R	224	96.43	3.57
1.4553779	1	4553779	R	226	93.81	6.19
1.4571618	1	4571618	F	292	0.00	100.00
1.4571642	1	4571642	F	297	0.00	100.00
1.4571647	1	4571647	F	290	0.00	100.00
1.4571655	1	4571655	F	278	0.00	100.00
1.4571827	1	4571827	F	196	0.00	100.00
1.4571832	1	4571832	F	199	0.00	100.00
1.4571834	1	4571834	F	197	0.00	100.00
1.4571840	1	4571840	F	188	0.00	100.00
1.4571843	1	4571843	F	199	0.00	100.00
1.4571858	1	4571858	F	191	0.00	100.00
1.4571883	1	4571883	F	145	0.00	100.00
1.4571890	1	4571890	F	135	0.00	100.00
1.4571892	1	4571892	F	138	1.45	98.55
1.4571894	1	4571894	F	140	0.00	100.00
1.4571904	1	4571904	F	147	0.00	100.00
1.4571914	1	4571914	F	138	0.72	99.28
1.4571924	1	4571924	F	120	0.00	100.00
1.4571944	1	4571944	F	220	0.45	99.55
1.4571950	1	4571950	F	206	0.00	100.00
1.4571952	1	4571952	F	216	0.00	100.00
1.4571958	1	4571958	F	220	0.00	100.00
1.4571970	1	4571970	F	222	0.45	99.55
1.4571756	1	4571756	R	290	0.34	99.66
1.4571758	1	4571758	R	288	0.00	100.00
1.4571760	1	4571760	R	294	0.00	100.00
1.4571772	1	4571772	R	288	0.00	100.00
1.4571774	1	4571774	R	300	2.67	97.33
1.4571783	1	4571783	R	299	0.00	100.00
1.4571804	1	4571804	R	297	0.00	100.00
1.4571835	1	4571835	R	208	0.00	100.00
1.4571841	1	4571841	R	215	0.47	99.53
1.4571844	1	4571844	R	219	0.00	100.00
1.4571859	1	4571859	R	217	0.00	100.00
1.4571884	1	4571884	R	217	0.46	99.54
1.4571895	1	4571895	R	136	0.00	100.00
1.4571905	1	4571905	R	145	0.00	100.00
1.4571915	1	4571915	R	160	0.00	100.00
1.4571925	1	4571925	R	165	0.00	100.00
1.4571945	1	4571945	R	164	0.61	99.39
1.4572001	1	4572001	R	223	0.00	100.00
1.4572017	1	4572017	R	223	1.35	98.65
1.4572024	1	4572024	R	213	0.00	100.00
1.4572032	1	4572032	R	219	0.00	100.00
1.4590700	1	4590700	R	173	87.28	12.72
1.4591438	1	4591438	F	91	90.11	9.89
1.4591451	1	4591451	F	91	83.52	16.48
1.4591486	1	4591486	F	93	91.40	8.60
1.4591714	1	4591714	R	119	100.00	0.00
1.4688280	1	4688280	F	171	95.91	4.09
1.4688310	1	4688310	F	160	98.75	1.25
1.4688319	1	4688319	F	166	98.80	1.20
1.4688330	1	4688330	F	162	95.68	4.32
1.4688311	1	4688311	R	167	92.22	7.78
1.4688320	1	4688320	R	167	97.60	2.40
1.4688331	1	4688331	R	166	90.96	9.04
1.4688346	1	4688346	R	167	97.60	2.40
1.4688349	1	4688349	R	167	96.41	3.59
1.4688352	1	4688352	R	167	95.81	4.19
1.4695296	1	4695296	F	166	54.82	45.18
1.4695381	1	4695381	R	225	75.56	24.44
1.4760740	1	4760740	F	80	52.50	47.50
1.4760956	1	4760956	R	25	52.00	48.00
1.4760981	1	4760981	R	25	92.00	8.00
1.4761002	1	4761002	R	26	96.15	3.85
